rank,vendor,sku_count
1,AFE,990
2,BD-Power,726
3,BDS Suspension,663
4,PPE (Pacific Performance Eng.),630
5,Crown Brake Lines,617
6,ATS Diesel Performance,538
7,Method Race Wheels,511
8,Baja Designs Offroad LED Lights,502
9,Mishimoto,489
10,Fleece Performance Engineering,454
11,Carli Suspension,442
12,ISSPRO,417
13,Industrial Injection,377
14,ICON Vehicle Dynamics,359
15,Alliant Power,353
16,FASS Fuel Systems,346
17,WeatherTech,294
18,XDP,293
19,S&B,283
20,Diamond Eye Performance,282
21,MBRP Exhaust,277
22,PacBrake,277
23,Sinister Diesel,253
24,Auto Meter,252
25,Extend,250
26,Banks Power,243
27,AEV | American Expedition Vehicles,236
28,Yukon Gear & Axle,236
29,Smeding Diesel,234
30,No Limit Fabrication,234
31,PMF Suspension,206
32,FOX Shocks,199
33,Zone Offroad Suspension,198
34,Bosch,196
35,SunCoast Performance,187
36,Factor 55,185
37,Cometic Gaskets,181
38,ReadyLIFT Suspension,179
39,KC Turbos,169
40,Complete Performance,167
41,Edge Products,167
42,Dayco,153
43,Dynomite Diesel,150
44,Realtruck Superlift Suspension,146
45,Gen-Y Hitch,145
46,South Bend Clutch,142
47,SSBC-USA,141
48,RECON Lighting,138
49,Synergy Manufacturing,138
50,MAHLE,136
51,Apex Chassis,132
52,Grizzly,131
53,Fairchild Industries,127
54,Kryptonite,126
55,Mevotech,125
56,Cummins Diesel Parts,123
57,Customs Unlimited,120
58,ICON Alloys,117
59,BulletProof Hitches,117
60,Power Stroke Products,111
61,Black Rhino Wheels,110
62,DieselSite,108
63,Dipaco DTech Diesel Parts,108
64,CNC Fabrication,107
65,Mac's Custom Tie Downs,104
66,Glacier Diesel Power,102
67,Mel's Manufacturing,101
68,Merchant Automotive,100
69,AirDog | PureFlow Technologies,97
70,Kelderman,95
71,ARB,92
72,H&S Motorsports,92
73,Warn,90
74,Mopar | Factory OEM Dodge Ram,89
75,Full Send Diesel,88
76,Alpharex,88
77,Cognito Motorsports Suspension,87
78,Valair Clutch,86
79,Beans Diesel | Bean Machine,84
80,PML Covers,84
81,Ranch Hand,83
82,Bilstein Shock Absorbers,82
83,Dually Design Co.,82
84,Rigid Industries,81
85,Suspension MAXX,80
86,MaxTrac Suspension,79
87,Rotomaster,77
88,HPS Performance,77
89,Westin,75
90,Putco Truck Accessories,71
91,AMP Research,70
92,Hawk Performance,69
93,Manton Pushrods,69
94,Diode Dynamics,69
95,Oracle Lighting,69
96,RevMax Converters,66
97,JKS Manufacturing,64
98,SDHQ Off Road,64
99,N-FAB,63
100,TS Performance,62
101,Prothane,62
102,Rock Krawler,61
103,ARP Bolts,60
104,Driven Diesel,60
105,Royalty Core,60
106,Weigh Safe,59
107,Hot Shot's Secret High Performance Additives,55
108,Dynatrac,52
109,Calibrated Power,51
110,Diesel Power Products,51
111,River City Turbo,51
112,Timbren,51
113,Power Driven Diesel,51
114,Borne Off-Road,49
115,Hellwig Products,46
116,MOOG,46
117,ZROADZ,46
118,Race Sport Lighting,46
119,Axiom Supply,46
120,Synapse Auto,45
121,Holset Turbochargers,44
122,DuramaxTuner.com,43
123,KC HiLiTES,43
124,SuperSprings,43
125,BulletProof Diesel,39
126,Generic Manufacturer,38
127,Dorman,38
128,Hamilton Cams,38
129,Longhorn Fab Shop,38
130,Custom Battery Cables,38
131,PurePower,38
132,Garrett,37
133,PSC,37
134,Toolbox Widget,36
135,Full Force Diesel,35
136,EBC Brakes,34
137,K&N Filters,34
138,MagnaFlow Exhaust,32
139,Morimoto,32
140,McGaughy's Suspension Parts,32
141,Aeroturbine,31
142,Mag-Hytec,30
143,Nemesis Industries,30
144,Revolution Gear & Axle,29
145,Total Seal Piston Rings,29
146,Camburg Suspension,28
147,CSF Radiators,28
148,Ford Motor Company,27
149,Mean Green,27
150,SteerSmarts,27
151,Daystar,26
152,Powermaster Performance Starters and Alternators,26
153,Red-Head Steering Gears Inc.,26
154,ADS Shocks,26
155,CJC Off-Road,25
156,Blend Door USA,25
157,Sulastic Rubber Springs,24
158,Mechman Alternators,24
159,SpynTec Industries,24
160,S&S Diesel Motorsport,23
161,BorgWarner,22
162,B&M Shifters,22
163,Fluidampr,21
164,Highway Products,21
165,Rancho,21
166,Mile Marker,20
167,RockJock,20
168,Irate Diesel Performance,19
169,Tuffy Security,19
170,CR2 Performance & Fabrication,19
171,BMC Lights,19
172,Rev-X Oil & Fuel Additive,18
173,Gator Fasteners,18
174,Rock Slide Engineering,18
175,Tork Teknology,17
176,NAPA Filters,17
177,Proforged,17
178,PowerStop,17
179,"Wilwood Engineering, Inc.",16
180,PROJECT X,16
181,NRS Galvanized Brakes,16
182,Air Lift Company,15
183,Bully Dog,15
184,ComeUp Winch,15
185,Injen Technology,15
186,T-Rex Grilles,15
187,Turbo Time USA,15
188,Fender Gripper,15
189,ATI Performance Products,14
190,Diesel Rx,14
191,Hypertech,14
192,Volant,14
193,USA Standard Gear,14
194,LRB Speed,14
195,Expedition One,14
196,Borgeson,13
197,Bubba Rope,13
198,"PPEI | Power Performance Enterprises, Inc | EFILive by Kory Willis",13
199,Kleinn Air Horns,13
200,Dethloff,13
201,AutoEnginuity,12
202,Clutch Masters,12
203,Fuel Bomb,12
204,Rare Parts Steering and Suspension,12
205,Schaeffer's Lubricants,12
206,Snow Performance,12
207,Snyder Performance Engineering,12
208,Eastern Industries,12
209,ProActive Gears,12
210,EMF Ball Joints,11
211,Zumbrota Drivetrain,11
212,Centerforce Performance Clutch,11
213,Smarty by MADS Electronics,10
214,Performance Diesel Inc.,10
215,Superchips,10
216,Holders Diesel,10
217,Flowmaster,10
218,Fumoto Engineering,9
219,BuiltRight Industries,9
220,RokBlokz,9
221,Apex Designs,9
222,Factory Aftermarket,9
223,Street Performance,9
224,PureDPF,9
225,Big Days,9
226,AEM,8
227,Fast Coolers,8
228,Fuelab,8
229,SCT,8
230,Sprint Booster,8
231,Wehrli Custom Fabrication,8
232,Bully Dog Big Rig,7
233,DiabloSport,7
234,Pro Eagle Floor Jacks,7
235,SoCal SuperTrucks,7
236,Generic,7
237,OLM Lighting,7
238,D&J Precision Machine,7
239,Racor,7
240,Fleetguard Filters,6
241,Flex-A-Lite,6
242,"Reid Racing, Inc.",6
243,XS Power,6
244,Black Mamba Gloves,6
245,Anvil Off-Road,6
246,Baer Brake Systems,6
247,Accutrim,5
248,HUBB Reuseable Oil Filters,5
249,Silverline Exhaust,5
250,Tekonsha,5
251,AccuAir Suspension,5
252,NOS Nitrous Oxide Systems,5
253,Cataclean,5
254,American Racing Wheels | ATX Series,4
255,Mob Armor,4
256,Turbosmart,4
257,Frantz Oil Filters,4
258,Hays Clutches,4
259,Airaid,3
260,Artec Industries,3
261,Heatshield Products,3
262,Skyjacker Suspension,3
263,Rock Tamers Mud Flaps,3
264,4x4 Posi-Lok,3
265,FASS EGR Solutions,3
266,RetroBright LED,3
267,Clampco,3
268,"Deaver Spring, Inc.",3
269,Dirt Church Industries,3
270,Bitterroot Diesel Performance,3
271,Dana / Spicer,2
272,Nitrous Express,2
273,Gearhead Automotive Performance,2
274,Trigger Wireless Accessory Controller,2
275,Flyin Diesel,2
276,EMP Shield,2
277,Adams Driveshaft & Offroad,2
278,American Axle & Manufacturing (AAM),1
279,Power Products Unlimited,1
280,Generic Race Parts (GRP),1
281,EZ LYNK,1
282,Switch-Pros,1
283,Nitro Gear & Axle,1
284,73dipstick.com,1
285,ADDICTIVE DESERT DESIGNS,1
286,Baldwin Filters,1
