vendor,display_name,search_family,interaction_strategy,runtime_preference,blocking_risk,verification_level,search_url_template,tested_skus,tested_sku_count,success_count,success_ratio,validation_status,success_skus,failed_skus,first_product_url,first_title,dominant_error,warning_count,first_warning,runtime_seconds
Mac's Custom Tie Downs,Mac's Custom Tie Downs,asp_search_ss,,http_first,low,verified,https://www.macscustomtiedowns.com/search.aspx?ss={sku},MAC-520215 | MACS-520010,2,2,1.00,validated,MAC-520215 | MACS-520010,,https://www.macscustomtiedowns.com/nosearchresults.aspx?ss=MAC-520215,Search Results,,0,,4.06
Aeroturbine,Aeroturbine,bigcommerce_search_html_q,,http_first,low,verified,https://aeroexhaust.com/search.html?q={sku},AERO-AR20 | AERO-AR25,2,0,0.00,failed,,AERO-AR20 | AERO-AR25,,,No SKU-specific product result found from search page.,0,,2.06
Bosch,Bosch,bigcommerce_search_html_q,,browser_first,low,verified,https://www.bosch.us/search.html?q={sku},BOS-HP004X | BOSCH-0281006325,2,0,0.00,failed,,BOS-HP004X | BOSCH-0281006325,,,No SKU-specific product result found from search page.,0,,9.86
Beans Diesel | Bean Machine,Beans Diesel | Bean Machine,bigcommerce_search_php_query,,http_first,low,verified,https://bdpshop.com/search.php?search_query={sku},BDP-280003 | BDP-280032,2,0,0.00,failed,,BDP-280003 | BDP-280032,,,No SKU-specific product result found from search page.,0,,3.29
Longhorn Fab Shop,Longhorn Fab Shop,bigcommerce_search_php_query,,http_first,low,verified,https://longhornfabshop.com/search.php?search_query={sku},LFS-201051 | LFS-200997,2,0,0.00,failed,,LFS-201051 | LFS-200997,,,No SKU-specific product result found from search page.,0,,3.46
BorgWarner,BorgWarner,custom_search,,http_first_with_browser_fallback,low,verified,https://www.borgwarner.com/search?indexCatalogue=default&searchQuery={sku}&wordsMode=0,BW-179425 | BW-59001107387,2,0,0.00,failed,,BW-179425 | BW-59001107387,,,No SKU-specific product result found from search page.,0,,3.47
Camburg Suspension,Camburg Suspension,custom_search,,http_first_with_browser_fallback,low,verified,https://www.suspensionlifts.com/?post_type=product&s={sku}&asp_active=1&p_asid=1&p_asp_data=1&filters_initial=1&filters_changed=0&qtranslate_lang=0&woo_currency=USD&current_page_id=701,CAM-030061 | CAM-030049,2,2,1.00,validated,CAM-030061 | CAM-030049,,https://www.suspensionlifts.com/?post_type=product&s=CAM-030061&asp_active=1&p_asid=1&p_asp_data=1&filters_initial=1&filters_changed=0&qtranslate_lang=0&woo_currency=USD&current_page_id=701,You searched for CAM-030061 -,,0,,13.82
Suspension MAXX,Suspension MAXX,drupal_search_api,,http_first_with_browser_fallback,low,verified,https://suspensionmaxx.com/catalog?search_api_fulltext={sku},SMX-2535 | SMX-122690EX,2,2,1.00,validated,SMX-2535 | SMX-122690EX,,https://suspensionmaxx.com/catalog,| Suspension Maxx,,0,,1.59
BMC Lights,BMC Lights,generic_keyword_search,,http_first_with_browser_fallback,low,verified,https://bmclights.com/shop-for-bmc-kits/ols/search?keywords={sku},BMC-RAM-250-HB-RGD-STD | BMC-FRD-F25-F45-HTC-FLD-RGD-IGN,2,2,1.00,validated,BMC-RAM-250-HB-RGD-STD | BMC-FRD-F25-F45-HTC-FLD-RGD-IGN,,https://bmclights.com/shop-for-bmc-kits,BMC Lights,,0,,1.39
RockJock,RockJock,generic_keyword_search,,http_first_with_browser_fallback,low,verified,https://www.rockjock4x4.com/search?keywords={sku},RJ-CE-9114 | RJ-256200-101,2,0,0.00,failed,,RJ-CE-9114 | RJ-256200-101,,,No SKU-specific product result found from search page.,0,,2.31
AccuAir Suspension,AccuAir Suspension,generic_q_search,,http_first,low,verified,https://accuair.com/search?q={sku}&options%5Bprefix%5D=last,AA-3837 | AA-3836,2,0,0.00,failed,,AA-3837 | AA-3836,,,No SKU-specific product result found from search page.,0,,2.64
AEV | American Expedition Vehicles,AEV | American Expedition Vehicles,generic_q_search,,http_first,low,verified,https://aev-conversions.com/search?q={sku},AEV-N0340000AB | AEV-N0340001AB,2,0,0.00,failed,,AEV-N0340000AB | AEV-N0340001AB,,,No SKU-specific product result found from search page.,0,,2.49
Power Driven Diesel,Power Driven Diesel,generic_query_search,,http_first,low,verified,https://powerdriven.com/pages/search?query={sku},PDD-RIT0001 | PDD-60000000236,2,0,0.00,failed,,PDD-RIT0001 | PDD-60000000236,,,No SKU-specific product result found from search page. https://powerdriven.com/products/vp44 (HTTP 404) | https://powerdriven.com/products/ford (HTTP 404) | https://powerdriven.com/products/turbo (HTTP 404),0,,19.69
S&B,S&B,generic_query_search,,browser_first,high,verified,https://sbfilters.com/pages/search?query={sku},SB-832018 | SB-75-5082,2,0,0.00,failed,,SB-832018 | SB-75-5082,,,No SKU-specific product result found from search page.,0,,8.70
FASS Fuel Systems,FASS Fuel Systems,json_product_search,json_api_id_detail,http_first,low,verified,https://shop.fassride.com/Products/Search?search={sku},DDP-RK-04 | FASS-PFD-1001,2,0,0.00,failed,,DDP-RK-04 | FASS-PFD-1001,,,JSON API search returned no results,0,,2.54
AFE,AFE,magento_catalogsearch,,http_first,low,verified,https://afepower.com/catalogsearch/result/?q={sku},46-71370B | AFE-46-20039,2,2,1.00,validated,46-71370B | AFE-46-20039,,https://afepower.com/afe-power-46-71370b-engine-oil-pan-black-finish-machined-fins,aFe POWER Pro Series Engine Oil Pan Black w/ Machined Fins,,0,,71.47
American Racing Wheels | ATX Series,American Racing Wheels | ATX Series,magento_catalogsearch,,browser_first,low,verified,https://www.atxwheels.com/catalogsearch/result/?q={sku},AR-AR1726882 | AR-AR1726882B,2,2,1.00,validated,AR-AR1726882 | AR-AR1726882B,,https://www.atxwheels.com/catalogsearch/result/index/,Search results for: 'AR-AR1726882'  | American Racing HD,,0,,4.24
ISSPRO,ISSPRO,part_number_search,,http_first,low,probed,https://isspro.com/Search/PartNoSearch?q={sku},ISS-R8912 | ISSPRO-0107BYOGM,2,0,0.00,failed,,ISS-R8912 | ISSPRO-0107BYOGM,,,No SKU-specific product result found from search page.,0,,2.21
"Wilwood Engineering, Inc.","Wilwood Engineering, Inc.",part_number_search,,http_first,low,verified,https://wilwood.com/Search/PartNoSearch?q={sku},WIL-220-9811 | WIL-140-13874-R,2,0,0.00,failed,,WIL-220-9811 | WIL-140-13874-R,,,No SKU-specific product result found from search page.,0,,3.39
No Limit Fabrication,No Limit Fabrication,partslogic_search_redirect,results_page_clickthrough,http_first,low,verified,https://nolimitfabrication.com/search.html?q={sku},NL-67OP | NL-67ICP11161,2,0,0.00,failed,,NL-67OP | NL-67ICP11161,,,No SKU-specific product result found from search page.,0,,3.63
ADS Shocks,ADS Shocks,path_or_query_search,,http_first_with_browser_fallback,low,verified,https://www.adsshocks.com/search/?q={sku},ADS-100ADS-10084 | ADS-250-F2R45-000,2,0,0.00,failed,,ADS-100ADS-10084 | ADS-250-F2R45-000,,,https://www.adsshocks.com/search/?q=ADS-100ADS-10084 (Bot challenge page detected),1,Vendor throttling detected; using safe scrape mode for this run.,41.15
Anvil Off-Road,Anvil Off-Road,path_or_query_search,,http_first_with_browser_fallback,low,verified,https://www.holley.com/search/?q={sku},AOR-2791AOR | AOR-17011AOR,2,0,0.00,failed,,AOR-2791AOR | AOR-17011AOR,,,No SKU-specific product result found from search page.,0,,151.34
Nitrous Express,Nitrous Express,product_search_search_prod,,http_first_with_browser_fallback,low,verified,https://www.nitrousexpress.com/search.asp?search_prod={sku},NX-D1000 | NX-D11110,2,0,0.00,failed,,NX-D1000 | NX-D11110,,,No SKU-specific product result found from search page.,0,,8.15
Snow Performance,Snow Performance,product_search_search_prod,,http_first_with_browser_fallback,low,verified,https://www.nitrousexpress.com/search.asp?search_prod={sku},SP-430 | SP-40016,2,0,0.00,failed,,SP-430 | SP-40016,,,No SKU-specific product result found from search page.,0,,7.17
Expedition One,Expedition One,searchasp_keyword,,http_first_with_browser_fallback,low,verified,https://www.expeditiononestore.com/search.asp?keyword={sku},EXP1-FORDSD-17-FB-PC | EXP1-RAM25/35-19+FB-BARE,2,0,0.00,failed,,EXP1-FORDSD-17-FB-PC | EXP1-RAM25/35-19+FB-BARE,,,No SKU-specific product result found from search page.,0,,4.17
PMF Suspension,PMF Suspension,searchasp_keyword,,http_first_with_browser_fallback,medium,verified,https://www.pmfsuspension.com/search.asp?keyword={sku},PMF-FRD-5004 | PMF-SD-05PASSTR-XRF,2,1,0.50,partial,PMF-FRD-5004,PMF-SD-05PASSTR-XRF,https://www.pmfsuspension.com/2017-26-Ford-F-250350-HD-Direct-Replacement-Adjustable-Trackbar_p_170.html,2017-26 Ford F-250/350 HD Direct Replacement Adjustable Trac,No SKU-specific product result found from search page.,0,,6.39
ADDICTIVE DESERT DESIGNS,ADDICTIVE DESERT DESIGNS,shopify_product_search,,http_first,low,verified,https://www.addictivedesertdesigns.com/search?type=product&options[prefix]=last&q={sku},ADD-AC8101801NA,1,0,0.00,failed,,ADD-AC8101801NA,,,No SKU-specific product result found from search page.,0,,1.73
Empire Performance Engineering,Empire Performance Engineering,shopify_product_search,,http_first_with_browser_fallback,low,verified,https://empireperformance.com.au/search?type=product&q={sku},,0,0,0.00,no_samples,,,,,No sample SKUs available,0,,0.00
Borgeson,Borgeson,substring_search,,http_first_with_browser_fallback,low,verified,https://www.borgeson.com/?target=search&mode=search&substring={sku}&including=all,BG-800123 | BG-800328,2,2,1.00,validated,BG-800123 | BG-800328,,https://www.borgeson.com/?target=search&mode=search&substring=BG-800123&including=all,Search > Borgeson Universal Company : BG-800123,,0,,4.68
Fumoto Engineering,Fumoto Engineering,substring_search,,http_first_with_browser_fallback,low,verified,https://www.fumotousa.com/?target=search&mode=search&substring={sku}&including=all,F-104 | F-106,2,0,0.00,failed,,F-104 | F-106,,,https://www.fumotousa.com/?target=search&mode=search&substring=F-104&including=all (Bot challenge page detected),1,Vendor throttling detected; using safe scrape mode for this run.,103.76
AirDog | PureFlow Technologies,AirDog | PureFlow Technologies,wordpress_s_query,,http_first,low,verified,https://airdogdiesel.com/?s={sku},PFT-WS100 | PF-R3SBD100,2,2,1.00,validated,PFT-WS100 | PF-R3SBD100,,https://airdogdiesel.com/?s=PFT-WS100,"""PFT-WS100"" | AirDog Diesel",,0,,6.36
AMP Research,AMP Research,wordpress_s_query,,http_first,low,verified,https://ampresearchco.com/?s={sku},AMP-75301-01A | AMP-75146-01A,2,2,1.00,validated,AMP-75301-01A | AMP-75146-01A,,https://ampresearchco.com/?s=AMP-75301-01A,You searched for AMP-75301-01A - Amp Research,,0,,3.05
Airaid,Airaid,wordpress_search_path,,http_first_with_browser_fallback,medium,verified,https://www.airaid.com/search/{sku},AIR-300-128 | AIR-790-550,2,2,1.00,validated,AIR-300-128 | AIR-790-550,,https://www.airaid.com/aw_blog/block/render/q/AIR-300-128/,Cool Air Intake Systems & Replacement Air Filters | Airaid,,0,,41.54
K&N Filters,K&N Filters,wordpress_search_path,,http_first_with_browser_fallback,medium,verified,https://www.knfilters.com/search/{sku},KN-E-0776 | KN-57-1532,2,2,1.00,validated,KN-E-0776 | KN-57-1532,,https://www.knfilters.com/aw_blog/block/render/q/KN-E-0776/,"Washable Air Filters, Cabin Filters, Cold Air Kits & Oil Filters | K&N",,0,,114.64
